study,g,se,var,ci_lo,ci_hi,pres,n,category
FAC-NoRef (2021),-5.818122632697587,0.11436038290354845,0.013078297177846218,-6.042268983188541,-5.593976282206632,87.02702702702703,800,S2S
Accentron (2022),-1.1130077949671562,0.0800988380397482,0.006415823855317813,-1.2700015175250627,-0.9560140724092497,93.46049046321527,360,S2S
ZS-NoRef (2022) *,-8.586064831791441,0.159805066111542,0.025537659154914308,-8.899282761370063,-8.27284690221282,68.24324324324323,800,S2S
TTS-Transfer (2024),-8.991538702601062,0.2356477352962107,0.05552985515023299,-9.453408263781634,-8.52966914142049,83.74717832957111,400,TTS
AC-Articulatory (2024),-2.3712931173452976,0.10654823261622401,0.011352525873640983,-2.5801276532730966,-2.1624585814174986,72.91666666666667,300,S2S
