study,category,g_nat,se_nat,pres_pct,n
FAC-NoRef (2021),S2S,-5.818122632697587,0.11436038290354845,87.02702702702703,800
Accentron (2022),S2S,-1.1130077949671562,0.0800988380397482,93.46049046321527,360
ZS-NoRef (2022),S2S,-22.317093232556658,0.3976700305964364,68.24324324324323,800
TTS-Transfer (2024),TTS,-8.991538702601062,0.2356477352962107,83.74717832957111,400
AC-Articulatory (2024),S2S,-2.3712931173452976,0.10654823261622401,72.91666666666667,300
