study,category,scale,g,se,var,ci_lo,ci_hi,n,gap_pct
FAC-NoRef (2021),S2S,9pt-accent,5.915585403323171,0.11591234654903325,0.013435672082503179,5.6883972040870665,6.142773602559276,800,25.130890052356015
Accentron (2022),S2S,9pt-accent,16.104948539572124,0.430898099147346,0.18567317184879603,15.260388265243327,16.949508813900923,360,62.97520661157024
ZS-NoRef (2022) *,S2S,9pt-accent,31.33813504824087,0.5562369965619934,0.3093995963443071,30.24791053497936,32.428359561502376,800,80.10563380281693
TTS-Guided-NoPar (2023) *,TTS,9pt-accent,29.510079069497937,0.9374672083267874,0.8788447666880203,27.672643341177434,31.34751479781844,250,85.88235294117646
AC-Articulatory (2024) †,S2S,9pt-accent,11.768843675642868,0.34941102999871937,0.12208806788476596,11.083998056845378,12.453689294440359,300,80.89368258859784
AC-DiscreteUnits (2024),Token,5pt-native,26.909357686724928,0.42781816555404173,0.18302838277802547,26.070834082239006,27.74788129121085,1000,
Streaming-NAR (2025) ‡,TTS,5pt-native,16.039114830848888,0.41774236942002396,0.17450868720865576,15.22033978678564,16.857889874912136,380,
KD-AC (2025) ‡,TTS,5pt-native,32.946752223126566,0.8481746972997583,0.7194003171395364,31.28432981641904,34.609174629834094,380,
