study,study_base,category,accent_gap_pct,accent_g,nat_pres_pct,nat_g
FAC-NoRef (2021),FAC-NoRef (2021),S2S,25.130890052356015,5.915585403323171,87.02702702702703,-5.818122632697587
Accentron (2022),Accentron (2022),S2S,62.97520661157024,16.104948539572124,93.46049046321527,-1.1130077949671562
ZS-NoRef (2022) *,ZS-NoRef (2022),S2S,80.10563380281693,31.33813504824087,68.24324324324323,-22.317093232556658
AC-Articulatory (2024) †,AC-Articulatory (2024),S2S,80.89368258859784,11.768843675642868,72.91666666666667,-2.3712931173452976
